NAME.who,NAME.shpfile,NAME.who_adm1,vaccine,iso3,who_coverage,merge_status,GAUL_CODE
cocobeach,cocobeach,estuaire,IPV1,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,MCV1,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,MCV2,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,MenA,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PAB_DTP1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PCV1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PCV2,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PCV3,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,Pol3,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,RCV1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,Rota1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,RotaC,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,TT2plus,GAB,35.68579725,success,75423
cocobeach,cocobeach,estuaire,VAD1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,YFV,GAB,62.09318052,success,75423
fougamou,fougamou,ngounie,BCG,GAB,68.88656339,success,75647
fougamou,fougamou,ngounie,DTP1,GAB,78.4753302,success,75647
fougamou,fougamou,ngounie,DTP3,GAB,64.09817047,success,75647
fougamou,fougamou,ngounie,DTP4,GAB,-4444,success,75647
fougamou,fougamou,ngounie,HepB_BD,GAB,-4444,success,75647
fougamou,fougamou,ngounie,HepB_BDall,GAB,-4444,success,75647
fougamou,fougamou,ngounie,HepB3,GAB,64.09817047,success,75647
fougamou,fougamou,ngounie,Hib3,GAB,64.09817047,success,75647
fougamou,fougamou,ngounie,IPV1,GAB,63.89848769,success,75647
fougamou,fougamou,ngounie,MCV1,GAB,56.51022505,success,75647
fougamou,fougamou,ngounie,MCV2,GAB,-4444,success,75647
fougamou,fougamou,ngounie,MenA,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PAB_DTP1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PCV1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PCV2,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PCV3,GAB,-4444,success,75647
fougamou,fougamou,ngounie,Pol3,GAB,61.5022944,success,75647
fougamou,fougamou,ngounie,RCV1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,Rota1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,RotaC,GAB,-4444,success,75647
fougamou,fougamou,ngounie,TT2plus,GAB,41.60723402,success,75647
fougamou,fougamou,ngounie,VAD1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,YFV,GAB,56.31054228,success,75647
franceville,franceville,hautogooue,BCG,GAB,63.2905367,success,75652
franceville,franceville,hautogooue,DTP1,GAB,50.45735426,success,75652
franceville,franceville,hautogooue,DTP3,GAB,47.70917638,success,75652
franceville,franceville,hautogooue,DTP4,GAB,-4444,success,75652
franceville,franceville,hautogooue,HepB_BD,GAB,-4444,success,75652
franceville,franceville,hautogooue,HepB_BDall,GAB,-4444,success,75652
franceville,franceville,hautogooue,HepB3,GAB,47.70917638,success,75652
franceville,franceville,hautogooue,Hib3,GAB,47.70917638,success,75652
franceville,franceville,hautogooue,IPV1,GAB,47.74959076,success,75652
franceville,franceville,hautogooue,MCV1,GAB,47.36565414,success,75652
franceville,franceville,hautogooue,MCV2,GAB,-4444,success,75652
franceville,franceville,hautogooue,MenA,GAB,-4444,success,75652
franceville,franceville,hautogooue,PAB_DTP1,GAB,-4444,success,75652
franceville,franceville,hautogooue,PCV1,GAB,-4444,success,75652
franceville,franceville,hautogooue,PCV2,GAB,-4444,success,75652
franceville,franceville,hautogooue,PCV3,GAB,-4444,success,75652
franceville,franceville,hautogooue,Pol3,GAB,47.70917638,success,75652
franceville,franceville,hautogooue,RCV1,GAB,-4444,success,75652
franceville,franceville,hautogooue,Rota1,GAB,-4444,success,75652
franceville,franceville,hautogooue,RotaC,GAB,-4444,success,75652
franceville,franceville,hautogooue,TT2plus,GAB,46.22321818,success,75652
franceville,franceville,hautogooue,VAD1,GAB,-4444,success,75652
franceville,franceville,hautogooue,YFV,GAB,48.13352737,success,75652
gamba,gamba,ogmaritime,BCG,GAB,63.98841185,success,75672
gamba,gamba,ogmaritime,DTP1,GAB,91.55524868,success,75672
gamba,gamba,ogmaritime,DTP3,GAB,82.84826538,success,75672
gamba,gamba,ogmaritime,DTP4,GAB,-4444,success,75672
gamba,gamba,ogmaritime,HepB_BD,GAB,-4444,success,75672
gamba,gamba,ogmaritime,HepB_BDall,GAB,-4444,success,75672
gamba,gamba,ogmaritime,HepB3,GAB,82.84826538,success,75672
gamba,gamba,ogmaritime,Hib3,GAB,82.84826538,success,75672
gamba,gamba,ogmaritime,IPV1,GAB,82.5844174,success,75672
gamba,gamba,ogmaritime,MCV1,GAB,69.65586643,success,75672
gamba,gamba,ogmaritime,MCV2,GAB,-4444,success,75672
gamba,gamba,ogmaritime,MenA,GAB,-4444,success,75672
gamba,gamba,ogmaritime,PAB_DTP1,GAB,-4444,success,75672
gamba,gamba,ogmaritime,PCV1,GAB,-4444,success,75672
gamba,gamba,ogmaritime,PCV2,GAB,-4444,success,75672
gamba,gamba,ogmaritime,PCV3,GAB,-4444,success,75672
gamba,gamba,ogmaritime,Pol3,GAB,82.5844174,success,75672
gamba,gamba,ogmaritime,RCV1,GAB,-4444,success,75672
gamba,gamba,ogmaritime,Rota1,GAB,-4444,success,75672
gamba,gamba,ogmaritime,RotaC,GAB,-4444,success,75672
gamba,gamba,ogmaritime,TT2plus,GAB,73.0617041,success,75672
gamba,gamba,ogmaritime,VAD1,GAB,-4444,success,75672
gamba,gamba,ogmaritime,YFV,GAB,72.29434622,success,75672
iboundji,iboundji,oglolo,BCG,GAB,42.91875347,success,75830
iboundji,iboundji,oglolo,DTP1,GAB,54.31757134,success,75830
iboundji,iboundji,oglolo,DTP3,GAB,48.80709309,success,75830
iboundji,iboundji,oglolo,DTP4,GAB,-4444,success,75830
iboundji,iboundji,oglolo,HepB_BD,GAB,-4444,success,75830
iboundji,iboundji,oglolo,HepB_BDall,GAB,-4444,success,75830
iboundji,iboundji,oglolo,HepB3,GAB,48.80709309,success,75830
iboundji,iboundji,oglolo,Hib3,GAB,48.80709309,success,75830
iboundji,iboundji,oglolo,IPV1,GAB,48.80709309,success,75830
iboundji,iboundji,oglolo,MCV1,GAB,42.50940365,success,75830
iboundji,iboundji,oglolo,MCV2,GAB,-4444,success,75830
iboundji,iboundji,oglolo,MenA,GAB,-4444,success,75830
iboundji,iboundji,oglolo,PAB_DTP1,GAB,-4444,success,75830
iboundji,iboundji,oglolo,PCV1,GAB,-4444,success,75830
iboundji,iboundji,oglolo,PCV2,GAB,-4444,success,75830
iboundji,iboundji,oglolo,PCV3,GAB,-4444,success,75830
iboundji,iboundji,oglolo,Pol3,GAB,48.80709309,success,75830
iboundji,iboundji,oglolo,RCV1,GAB,-4444,success,75830
iboundji,iboundji,oglolo,Rota1,GAB,-4444,success,75830
iboundji,iboundji,oglolo,RotaC,GAB,-4444,success,75830
iboundji,iboundji,oglolo,TT2plus,GAB,42.44598942,success,75830
iboundji,iboundji,oglolo,VAD1,GAB,-4444,success,75830
iboundji,iboundji,oglolo,YFV,GAB,42.50940365,success,75830
kango,kango,estuaire,BCG,GAB,52.23677887,success,76015
kango,kango,estuaire,DTP1,GAB,78.90752095,success,76015
kango,kango,estuaire,DTP3,GAB,61.44713334,success,76015
kango,kango,estuaire,DTP4,GAB,-4444,success,76015
kango,kango,estuaire,HepB_BD,GAB,-4444,success,76015
kango,kango,estuaire,HepB_BDall,GAB,-4444,success,76015
kango,kango,estuaire,HepB3,GAB,61.44713334,success,76015
kango,kango,estuaire,Hib3,GAB,61.44713334,success,76015
kango,kango,estuaire,IPV1,GAB,61.44713334,success,76015
kango,kango,estuaire,MCV1,GAB,59.60036157,success,76015
kango,kango,estuaire,MCV2,GAB,-4444,success,76015
kango,kango,estuaire,MenA,GAB,-4444,success,76015
kango,kango,estuaire,PAB_DTP1,GAB,-4444,success,76015
kango,kango,estuaire,PCV1,GAB,-4444,success,76015
kango,kango,estuaire,PCV2,GAB,-4444,success,76015
kango,kango,estuaire,PCV3,GAB,-4444,success,76015
kango,kango,estuaire,Pol3,GAB,58.42514317,success,76015
kango,kango,estuaire,RCV1,GAB,-4444,success,76015
kango,kango,estuaire,Rota1,GAB,-4444,success,76015
kango,kango,estuaire,RotaC,GAB,-4444,success,76015
kango,kango,estuaire,TT2plus,GAB,20.09949909,success,76015
