,NAME,NAME.who,NAME.shpfile,iso3.x,who_coverage,who_coverage.x,who_coverage.y,merge_status,merge_status.x,merge_status.y,GAUL_CODE,GAUL_CODE.x,GAUL_CODE.y
308,sangui,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10556,NA,NA
309,sanmatenga,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10554,NA,NA
310,sissili,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10557,NA,NA
311,sno,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10579,NA,NA
312,soum,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10580,NA,NA
313,sourou,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10546,NA,NA
314,tapoa,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10567,NA,NA
315,tuy,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10570,NA,NA
316,yagha,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10581,NA,NA
317,yatenga,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10573,NA,NA
318,ziro,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10558,NA,NA
319,zondoma,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10574,NA,NA
320,zoundwogo,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10561,NA,NA
1,yamoussoukro,yamoussoukro,NA,CIV,93.84479718,NA,NA,success,NA,NA,12929,NA,NA
2,NA,sanpedro,sanpdro,CIV,NA,96.24687239,NA,fuzzy need fix,in WHO but not shpfile,in shpfile but not WHO,NA,NA,12901
3,NA,sanpedro,sanpdro,CIV,NA,96.24687239,NA,fuzzy need fix,in WHO but not shpfile,in shpfile but not WHO,NA,NA,12902
4,NA,dabou,bagou,CIV,NA,94.4494721,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,12921
5,NA,man,lam,CIV,NA,91.03663289,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,12915
6,NA,tabou,bagou,CIV,NA,99.9245283,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,12921
7,abengourou,abengourou,NA,CIV,98.54376452,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
8,aboboest,aboboest,NA,CIV,104.2693157,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
9,aboboouest,aboboouest,NA,CIV,93.01218162,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
10,aboisso,aboisso,NA,CIV,95.87490692,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
11,adiake,adiake,NA,CIV,95.25876461,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
12,adjameplateauattecoube,adjameplateauattecoube,NA,CIV,109.1909578,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
13,adzope,adzope,NA,CIV,101.8037135,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
