,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note
118,NA,NA,AGO,Angola,2016,NA,2010,fuzzy need fix,uige,malanje,mucaba,mucari,85,r
119,NA,NA,AGO,Angola,2016,NA,2035,fuzzy need fix,uige,uge,mucaba,mucaba,85,
120,NA,NA,AGO,Angola,2016,NA,2031,fuzzy need fix,uige,uge,songo,bungo,123,r
121,NA,NA,AGO,Angola,2016,NA,2041,fuzzy need fix,uige,uge,songo,songo,123,
122,NA,NA,AGO,Angola,2016,NA,1925,fuzzy success,bengo,cuanzanorte,bulaatumba,bulaatumba,107,
123,NA,NA,AGO,Angola,2016,NA,1932,fuzzy success,bengo,cuanzanorte,pangoaluquem,pangoaluqum,122,
124,NA,NA,AGO,Angola,2016,NA,1891,fuzzy success,benguela,benguela,baiafarta,baafarta,111,
125,NA,NA,AGO,Angola,2016,NA,1895,fuzzy success,benguela,benguela,caimbambo,caiambambo,56,
126,NA,NA,AGO,Angola,2016,NA,1900,fuzzy success,bie,bi,andulo,andulo,90,
127,NA,NA,AGO,Angola,2016,NA,1902,fuzzy success,bie,bi,catabola,catabola,65,
128,NA,NA,AGO,Angola,2016,NA,1903,fuzzy success,bie,bi,chinguar,chinguar,97,
129,NA,NA,AGO,Angola,2016,NA,1904,fuzzy success,bie,bi,chitembo,chitembo,70,
130,NA,NA,AGO,Angola,2016,NA,1905,fuzzy success,bie,bi,cuemba,cuemba,79,
131,NA,NA,AGO,Angola,2016,NA,1907,fuzzy success,bie,bi,cuito,kuito,69,
132,NA,NA,AGO,Angola,2016,NA,1906,fuzzy success,bie,bi,cunhinga,cunhinga,100,
133,NA,NA,AGO,Angola,2016,NA,1908,fuzzy success,bie,bi,nharea,nharea,71,
134,NA,NA,AGO,Angola,2016,NA,1953,fuzzy success,cabinda,hula,cacongo,caconda,108,change
135,NA,NA,AGO,Angola,2016,NA,1931,fuzzy success,cuanzanorte,cuanzanorte,gonguembo,ngonguembo,54,
136,NA,NA,AGO,Angola,2016,NA,1934,fuzzy success,cuanzanorte,cuanzanorte,sambacaju,sambacaj,42,
137,NA,NA,AGO,Angola,2016,NA,1967,fuzzy success,cuanzasul,huambo,cela,caila,45,change
138,NA,NA,AGO,Angola,2016,NA,1951,fuzzy success,cunene,cunene,namacunde,namakunde,28,
139,NA,NA,AGO,Angola,2016,NA,1969,fuzzy success,huambo,huambo,ecunha,ekunha,113,
140,NA,NA,AGO,Angola,2016,NA,1975,fuzzy success,huambo,huambo,tchinjenje,tchindjenje,102,
141,NA,NA,AGO,Angola,2016,NA,1954,fuzzy success,huila,hula,caluquembe,caluquembe,86,
142,NA,NA,AGO,Angola,2016,NA,1955,fuzzy success,huila,hula,chibia,chibia,96,
143,NA,NA,AGO,Angola,2016,NA,1956,fuzzy success,huila,hula,chicomba,chicomba,108,
144,NA,NA,AGO,Angola,2016,NA,1957,fuzzy success,huila,hula,chipindo,chipindo,97,
145,NA,NA,AGO,Angola,2016,NA,1959,fuzzy success,huila,hula,humpata,humpata,91,
146,NA,NA,AGO,Angola,2016,NA,1963,fuzzy success,huila,hula,matala,matala,80,
147,NA,NA,AGO,Angola,2016,NA,1964,fuzzy success,huila,hula,quilengues,quilengues,118,
148,NA,NA,AGO,Angola,2016,NA,1888,fuzzy success,luanda,bengo,icoloebengo,icoloebengo,83,
149,NA,NA,AGO,Angola,2016,NA,1994,fuzzy success,lundanorte,lundanorte,xamuteba,ximuteba,80,
150,NA,NA,AGO,Angola,2016,NA,1999,fuzzy success,malanje,malanje,cacuso,cacuzo,82,
151,NA,NA,AGO,Angola,2016,NA,2003,fuzzy success,malanje,malanje,cahombo,caombo,77,
152,NA,NA,AGO,Angola,2016,NA,2005,fuzzy success,malanje,malanje,cundadiabaze,cundadiabaza,6,
153,NA,NA,AGO,Angola,2016,NA,2016,fuzzy success,moxico,moxico,leua,lua,149,
