,ADM1_NAME,ADM2_NAME,iso3.x,vaccine,ADM0_NAME.x,who_coverage,GAUL_CODE,merge_status,ADM1_NAME.x,ADM2_NAME.who,ADM1_NAME.y,ADM2_NAME.shpfile
149,karuzi,bugenyuzi,NA,DTP3,Burundi,NA,10649,in shpfile but not WHO,NA,NA,NA,bugenyuzi
150,karuzi,buhiga,NA,DTP3,Burundi,NA,10650,in shpfile but not WHO,NA,NA,NA,buhiga
151,karuzi,gihogazi,NA,DTP3,Burundi,NA,10651,in shpfile but not WHO,NA,NA,NA,gihogazi
152,karuzi,gitaramuka,NA,DTP3,Burundi,NA,10652,in shpfile but not WHO,NA,NA,NA,gitaramuka
153,karuzi,mutumba,NA,DTP3,Burundi,NA,10653,in shpfile but not WHO,NA,NA,NA,mutumba
154,karuzi,nyabikere,NA,DTP3,Burundi,NA,10654,in shpfile but not WHO,NA,NA,NA,nyabikere
155,karuzi,shombo,NA,DTP3,Burundi,NA,10655,in shpfile but not WHO,NA,NA,NA,shombo
156,kayanza,butaganzwa1,NA,DTP3,Burundi,NA,10656,in shpfile but not WHO,NA,NA,NA,butaganzwa1
157,kayanza,gatara,NA,DTP3,Burundi,NA,10658,in shpfile but not WHO,NA,NA,NA,gatara
158,kayanza,kabarore,NA,DTP3,Burundi,NA,10659,in shpfile but not WHO,NA,NA,NA,kabarore
159,kayanza,matongo,NA,DTP3,Burundi,NA,10661,in shpfile but not WHO,NA,NA,NA,matongo
160,kayanza,muhanga,NA,DTP3,Burundi,NA,10662,in shpfile but not WHO,NA,NA,NA,muhanga
161,kayanza,muruta,NA,DTP3,Burundi,NA,10663,in shpfile but not WHO,NA,NA,NA,muruta
162,kayanza,rango,NA,DTP3,Burundi,NA,10664,in shpfile but not WHO,NA,NA,NA,rango
163,kirundo,bugabira,NA,DTP3,Burundi,NA,10665,in shpfile but not WHO,NA,NA,NA,bugabira
164,kirundo,bwambarangwe,NA,DTP3,Burundi,NA,10667,in shpfile but not WHO,NA,NA,NA,bwambarangwe
165,kirundo,gitobe,NA,DTP3,Burundi,NA,10668,in shpfile but not WHO,NA,NA,NA,gitobe
166,kirundo,ntega,NA,DTP3,Burundi,NA,10670,in shpfile but not WHO,NA,NA,NA,ntega
167,makamba,kayogoro,NA,DTP3,Burundi,NA,10672,in shpfile but not WHO,NA,NA,NA,kayogoro
168,makamba,kibago,NA,DTP3,Burundi,NA,10673,in shpfile but not WHO,NA,NA,NA,kibago
169,makamba,laketanganyika,NA,DTP3,Burundi,NA,10674,in shpfile but not WHO,NA,NA,NA,laketanganyika
170,makamba,mabanda,NA,DTP3,Burundi,NA,10675,in shpfile but not WHO,NA,NA,NA,mabanda
171,makamba,vugizo,NA,DTP3,Burundi,NA,10678,in shpfile but not WHO,NA,NA,NA,vugizo
172,muramvya,bukeye,NA,DTP3,Burundi,NA,10679,in shpfile but not WHO,NA,NA,NA,bukeye
173,muramvya,kiganda,NA,DTP3,Burundi,NA,10680,in shpfile but not WHO,NA,NA,NA,kiganda
174,muramvya,mbuye,NA,DTP3,Burundi,NA,10681,in shpfile but not WHO,NA,NA,NA,mbuye
175,muramvya,muramvya,NA,DTP3,Burundi,NA,10682,in shpfile but not WHO,NA,NA,NA,muramvya
176,muramvya,rutegama,NA,DTP3,Burundi,NA,10683,in shpfile but not WHO,NA,NA,NA,rutegama
177,muyinga,buhinyuza,NA,DTP3,Burundi,NA,10684,in shpfile but not WHO,NA,NA,NA,buhinyuza
178,muyinga,butihinda,NA,DTP3,Burundi,NA,10685,in shpfile but not WHO,NA,NA,NA,butihinda
179,muyinga,gasorwe,NA,DTP3,Burundi,NA,10687,in shpfile but not WHO,NA,NA,NA,gasorwe
180,muyinga,mwakiro,NA,DTP3,Burundi,NA,10690,in shpfile but not WHO,NA,NA,NA,mwakiro
181,mwaro,bisoro,NA,DTP3,Burundi,NA,10691,in shpfile but not WHO,NA,NA,NA,bisoro
182,mwaro,gisozi,NA,DTP3,Burundi,NA,10692,in shpfile but not WHO,NA,NA,NA,gisozi
183,mwaro,kayokwe,NA,DTP3,Burundi,NA,10693,in shpfile but not WHO,NA,NA,NA,kayokwe
184,mwaro,ndava,NA,DTP3,Burundi,NA,10694,in shpfile but not WHO,NA,NA,NA,ndava
185,mwaro,nyabihanga,NA,DTP3,Burundi,NA,10695,in shpfile but not WHO,NA,NA,NA,nyabihanga
186,mwaro,rusaka,NA,DTP3,Burundi,NA,10696,in shpfile but not WHO,NA,NA,NA,rusaka
187,ngozi,busiga,NA,DTP3,Burundi,NA,10697,in shpfile but not WHO,NA,NA,NA,busiga
188,ngozi,gashikanwa,NA,DTP3,Burundi,NA,10698,in shpfile but not WHO,NA,NA,NA,gashikanwa
189,ngozi,marangara,NA,DTP3,Burundi,NA,10700,in shpfile but not WHO,NA,NA,NA,marangara
190,ngozi,mwumba,NA,DTP3,Burundi,NA,10701,in shpfile but not WHO,NA,NA,NA,mwumba
191,ngozi,nyamurenza,NA,DTP3,Burundi,NA,10703,in shpfile but not WHO,NA,NA,NA,nyamurenza
192,ngozi,ruhororo,NA,DTP3,Burundi,NA,10704,in shpfile but not WHO,NA,NA,NA,ruhororo
193,ngozi,tangara,NA,DTP3,Burundi,NA,10705,in shpfile but not WHO,NA,NA,NA,tangara
194,rutana,bukemba,NA,DTP3,Burundi,NA,10706,in shpfile but not WHO,NA,NA,NA,bukemba
195,rutana,giharo,NA,DTP3,Burundi,NA,10707,in shpfile but not WHO,NA,NA,NA,giharo
196,rutana,gitanga,NA,DTP3,Burundi,NA,10708,in shpfile but not WHO,NA,NA,NA,gitanga
197,rutana,mpingakayove,NA,DTP3,Burundi,NA,10709,in shpfile but not WHO,NA,NA,NA,mpingakayove
198,rutana,musongati,NA,DTP3,Burundi,NA,10710,in shpfile but not WHO,NA,NA,NA,musongati
199,ruyigi,butaganzwa2,NA,DTP3,Burundi,NA,10712,in shpfile but not WHO,NA,NA,NA,butaganzwa2
200,ruyigi,bweru,NA,DTP3,Burundi,NA,10714,in shpfile but not WHO,NA,NA,NA,bweru
201,ruyigi,gisuru,NA,DTP3,Burundi,NA,10715,in shpfile but not WHO,NA,NA,NA,gisuru
202,ruyigi,nyabitsinda,NA,DTP3,Burundi,NA,10717,in shpfile but not WHO,NA,NA,NA,nyabitsinda
203,NA,NA,CAF,DTP3,Burundi,65,NA,fuzzy need fix,rs1,bimbo,ombellampoko,bimbo
204,NA,NA,CAF,DTP3,Burundi,65,NA,fuzzy need fix,rs1,bimbo,sanghambar,bambio
205,NA,NA,CAF,DTP3,Burundi,65,NA,fuzzy need fix,rs1,bimbo,vakaga,birao
206,NA,NA,CAF,DTP3,Burundi,49,NA,fuzzy need fix,rs1,boda,hautekotto,bria
207,NA,NA,CAF,DTP3,Burundi,49,NA,fuzzy need fix,rs1,boda,lobaye,boda
