ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,GAUL_CODE,ISO
14211,S??dermanland,211,Sweden,14211,SWE
15211,Stockholm,211,Sweden,15211,SWE
16211,Uppsala,211,Sweden,16211,SWE
17211,V?ñrmland,211,Sweden,17211,SWE
18211,V?ñsterbotten,211,Sweden,18211,SWE
19211,V?ñsternorrland,211,Sweden,19211,SWE
20211,V?ñstmanland,211,Sweden,20211,SWE
21211,V?ñstra G??taland,211,Sweden,21211,SWE
1212,Hhohho,212,Swaziland,1212,SWZ
2212,Lubombo,212,Swaziland,2212,SWZ
3212,Manzini,212,Swaziland,3212,SWZ
4212,Shiselweni,212,Swaziland,4212,SWZ
1214,Anse aux Pins,214,Seychelles,1214,SYC
2214,Anse Boileau,214,Seychelles,2214,SYC
3214,Anse ?ëtoile,214,Seychelles,3214,SYC
4214,Anse Royale,214,Seychelles,4214,SYC
5214,Au Cap,214,Seychelles,5214,SYC
6214,Baie Lazare,214,Seychelles,6214,SYC
7214,Baie Sainte Anne,214,Seychelles,7214,SYC
8214,Beau Vallon,214,Seychelles,8214,SYC
9214,Bel Air,214,Seychelles,9214,SYC
10214,Belombre,214,Seychelles,10214,SYC
11214,Cascade,214,Seychelles,11214,SYC
12214,English River,214,Seychelles,12214,SYC
13214,Glacis,214,Seychelles,13214,SYC
14214,Grand' Anse,214,Seychelles,14214,SYC
15214,Grand'Anse Praslin,214,Seychelles,15214,SYC
16214,La Digue and Inner Islands,214,Seychelles,16214,SYC
17214,Les Mamelles,214,Seychelles,17214,SYC
18214,Mont Buxton,214,Seychelles,18214,SYC
19214,Mont Fleuri,214,Seychelles,19214,SYC
20214,Outer Islands,214,Seychelles,20214,SYC
21214,Plaisance,214,Seychelles,21214,SYC
22214,Pointe La Rue,214,Seychelles,22214,SYC
23214,Port Glaud,214,Seychelles,23214,SYC
24214,Roche Ca?»man,214,Seychelles,24214,SYC
25214,Saint Louis,214,Seychelles,25214,SYC
26214,Takamaka,214,Seychelles,26214,SYC
1215,Al ß?ñasakah,215,Syria,1215,SYR
2215,Aleppo,215,Syria,2215,SYR
3215,Ar Raqqah,215,Syria,3215,SYR
4215,As Suwayda',215,Syria,4215,SYR
5215,Damascus,215,Syria,5215,SYR
6215,Dar`a,215,Syria,6215,SYR
7215,Dayr Az Zawr,215,Syria,7215,SYR
8215,Hamah,215,Syria,8215,SYR
9215,Hims,215,Syria,9215,SYR
10215,Idlib,215,Syria,10215,SYR
11215,Lattakia,215,Syria,11215,SYR
12215,Quneitra,215,Syria,12215,SYR
13215,Rif Dimashq,215,Syria,13215,SYR
14215,Tartus,215,Syria,14215,SYR
1216,Grand Turk,216,Turks and Caicos Islands,1216,TCA
2216,Middle Caicos,216,Turks and Caicos Islands,2216,TCA
3216,North Caicos,216,Turks and Caicos Islands,3216,TCA
4216,Providenciales and West Caicos,216,Turks and Caicos Islands,4216,TCA
5216,Salt Cay,216,Turks and Caicos Islands,5216,TCA
6216,South Caicos and East Caicos,216,Turks and Caicos Islands,6216,TCA
1217,Barh el Ghazel,217,Chad,1217,TCD
2217,Batha,217,Chad,2217,TCD
3217,Borkou,217,Chad,3217,TCD
