,V1,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note,V16,V17,V18,V19
161,161,luanda,quissama,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,quissama,NA,50,,NA,NA,NA,NA
162,162,lundanorte,capendacamulemba,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,capendacamulemba,NA,85,,NA,NA,NA,NA
163,163,malanje,caculamamucari,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,caculamamucari,NA,76,,NA,NA,NA,NA
164,164,malanje,kiuabanzoji,AGO,Angola,2016,DTP3,2004,in WHO but not shpfile,NA,NA,kiuabanzoji,cuabanzogo,53,,NA,NA,NA,NA
165,165,moxico,lumejecameia,AGO,Angola,2016,DTP3,2015,in WHO but not shpfile,NA,NA,lumejecameia,cameia,194,,NA,NA,NA,NA
166,166,moxico,moxicoluena,AGO,Angola,2016,DTP3,2021,in WHO but not shpfile,NA,NA,moxicoluena,moxico,124,,NA,NA,NA,NA
167,167,uige,cangola,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,cangola,NA,107,,NA,NA,NA,NA
168,168,bengo,muxima,AGO,Angola,NA,NA,1889,in shpfile but not WHO,NA,Bengo,NA,muxima,NA,,NA,NA,NA,NA
169,169,cabinda,landana,AGO,Angola,NA,NA,1912,in shpfile but not WHO,NA,Cabinda,NA,landana,NA,,NA,NA,NA,NA
170,170,cuanzasul,wakukungo,AGO,Angola,NA,NA,1946,in shpfile but not WHO,NA,Cuanza Sul,NA,wakukungo,NA,,NA,NA,NA,NA
171,171,huambo,tchicalatcholoanga,AGO,Angola,NA,NA,1974,manually match,NA,Huambo,NA,tchicalatcholoanga,NA,match,NA,NA,NA,NA
172,172,hula,tchipungo,AGO,Angola,NA,NA,1965,in shpfile but not WHO,NA,Hu?¡la,NA,tchipungo,NA,,NA,NA,NA,NA
173,173,malanje,cuabanzogo,AGO,Angola,NA,NA,2004,in shpfile but not WHO,NA,Malanje,NA,cuabanzogo,NA,,NA,NA,NA,NA
174,174,moxico,cameia,AGO,Angola,NA,NA,2015,in shpfile but not WHO,NA,Moxico,NA,cameia,NA,,NA,NA,NA,NA
175,175,moxico,moxico,AGO,Angola,NA,NA,2021,in shpfile but not WHO,NA,Moxico,NA,moxico,NA,,NA,NA,NA,NA
176,176,uge,altocauale,AGO,Angola,NA,NA,2027,in shpfile but not WHO,NA,U?¡ge,NA,altocauale,NA,,NA,NA,NA,NA
177,177,biokonorte,baney,GNQ,Equatorial Guinea,2016,DTP3,14870,success,NA,NA,baney,NA,97.71895313,,NA,NA,NA,NA
178,178,biokonorte,malabo,GNQ,Equatorial Guinea,2016,DTP3,14871,success,NA,NA,malabo,NA,37.89040901,,NA,NA,NA,NA
179,179,biokosur,luba,GNQ,Equatorial Guinea,2016,DTP3,14873,success,NA,NA,luba,NA,66.55861477,,NA,NA,NA,NA
180,180,biokosur,riaba,GNQ,Equatorial Guinea,2016,DTP3,14874,success,NA,NA,riaba,NA,63.43356844,,NA,NA,NA,NA
181,181,centrosur,acurenam,GNQ,Equatorial Guinea,2016,DTP3,14875,success,NA,NA,acurenam,NA,50.16195635,,NA,NA,NA,NA
182,182,centrosur,evinayong,GNQ,Equatorial Guinea,2016,DTP3,14877,success,NA,NA,evinayong,NA,56.89183409,,NA,NA,NA,NA
183,183,centrosur,niefang,GNQ,Equatorial Guinea,2016,DTP3,14878,success,NA,NA,niefang,NA,47.79401174,,NA,NA,NA,NA
184,184,litoral,bata,GNQ,Equatorial Guinea,2016,DTP3,14886,success,NA,NA,bata,NA,43.98339055,,NA,NA,NA,NA
185,185,litoral,cogo,GNQ,Equatorial Guinea,2016,DTP3,14888,success,NA,NA,cogo,NA,9.943756716,,NA,NA,NA,NA
186,186,litoral,mbini,GNQ,Equatorial Guinea,2016,DTP3,14891,success,NA,NA,mbini,NA,42.02735599,,NA,NA,NA,NA
187,187,welenzas,aconibe,GNQ,Equatorial Guinea,2016,DTP3,14894,success,NA,NA,aconibe,NA,45.47551356,,NA,NA,NA,NA
188,188,welenzas,mongomo,GNQ,Equatorial Guinea,2016,DTP3,14898,success,NA,NA,mongomo,NA,48.84453617,,NA,NA,NA,NA
