"","NAME.who","NAME.shpfile","iso3.x","who_coverage","merge_status","GAUL_CODE"
"175","kuhlanashsharaf","kuhlanashsharaf","YEM",96.90679011,"success",21013253
"176","kushar","kushar","YEM",94.27173967,"success",22013253
"177","kusmah","kusmah","YEM",80.12004421,"success",5017253
"178","maain","maain","YEM",71.24618752,"success",8009253
"179","mabyan","mabyan","YEM",91.48653197,"success",23013253
"180","maghiribans","maghiribans","YEM",76.49628534,"success",8011253
"181","majz","majz","YEM",27.50618494,"success",8018253
"182","manakhah","manakhah","YEM",95.5616038,"success",13019253
"183","manar","manar","YEM",38.62391594,"success",6007253
"184","maqbanah","maqbanah","YEM",97.74064695,"success",15021253
"185","marib","marib","YEM",128.7754973,"success",9016253
"186","maribcity","maribcity","YEM",184.0821908,"success",10016253
"187","maswar","maswar","YEM",81.05421024,"success",16010253
"188","maswarah","maswarah","YEM",144.0277161,"success",13003253
"189","mawiyah","mawiyah","YEM",94.34787351,"success",17021253
"190","mawza","mawza","YEM",69.86571102,"success",18021253
"191","mayfaatanss","mayfaatanss","YEM",112.5850599,"success",9011253
"192","mazhar","mazhar","YEM",94.17792162,"success",6017253
"193","midi","midi","YEM",94.34732033,"success",24013253
"194","milhan","milhan","YEM",71.30545054,"success",8008253
"195","mudhaykhirah","mudhaykhirah","YEM",94.95448899,"success",19014253
"196","mudiyah","mudiyah","YEM",68.87744511,"success",7002253
"197","mukayras","mukayras","YEM",98.38311337,"success",14003253
"198","mustaba","mustaba","YEM",92.32426472,"success",25013253
"199","najrah","najrah","YEM",88.53584852,"success",26013253
"200","naman","naman","YEM",123.7859289,"success",15003253
"201","nisab","nisab","YEM",74.79736005,"success",15020253
"202","qaatabah","qaatabah","YEM",112.2210275,"success",9004253
"203","qaflshamer","qaflshamer","YEM",101.4061558,"success",27013253
"204","qarah","qarah","YEM",97.26794257,"success",28013253
"205","qishn","qishn","YEM",56.8176148,"success",7007253
"206","rada","rada","YEM",75.66862291,"success",17003253
"207","radfan","radfan","YEM",98.94470627,"success",11015253
"208","radmanalawad","radmanalawad","YEM",58.94558103,"success",18003253
"209","raghwan","raghwan","YEM",98.77284228,"success",12016253
"210","rahabah","rahabah","YEM",76.91867677,"success",13016253
"211","rajuzah","rajuzah","YEM",30.81294899,"success",12006253
"212","raydah","raydah","YEM",86.30495389,"success",17010253
"213","razih","razih","YEM",38.7330159,"success",11018253
"214","rumah","rumah","YEM",73.47752947,"success",22012253
"215","sabah","sabah","YEM",91.79883394,"success",19003253
"216","sabiralmawadim","sabiralmawadim","YEM",62.42950785,"success",19021253
"217","safan","safan","YEM",100.189504,"success",15019253
"218","sah","sah","YEM",84.52940886,"success",23012253
"219","sahar","sahar","YEM",23.56393485,"success",13018253
"220","salh","salh","YEM",28.32257399,"success",20021253
"221","sama","sama","YEM",91.82752425,"success",21021253
"222","sanhan","sanhan","YEM",97.09699841,"success",16019253
"223","saqayn","saqayn","YEM",17.95046485,"success",14018253
"224","sarar","sarar","YEM",72.85425728,"success",9002253
"225","sayhut","sayhut","YEM",66.36393341,"success",8007253
"226","sayun","sayun","YEM",85.24531954,"success",24012253
"227","shahan","shahan","YEM",65.00912599,"success",9007253
"228","sharabarrawnah","sharabarrawnah","YEM",81.88858516,"success",22021253
"229","sharas","sharas","YEM",102.7678226,"success",29013253
"230","shibam","shibam","YEM",80.39659293,"success",25012253
"231","shuaub","shuaub","YEM",65.5298832,"success",10009253
"232","sibah","sibah","YEM",78.46938879,"success",10002253
"233","sirwah","sirwah","YEM",28.17768801,"success",14016253
"234","thamud","thamud","YEM",62.04139357,"success",27012253
"235","thula","thula","YEM",75.21505542,"success",20010253
"236","tuban","tuban","YEM",98.35600393,"success",12015253
"237","utmah","utmah","YEM",92.21303758,"success",10011253
"238","wadhrah","wadhrah","YEM",96.58978477,"success",30013253
"239","wusabalali","wusabalali","YEM",97.11922888,"success",11011253
"240","wusabassafil","wusabassafil","YEM",89.42887788,"success",12011253
"241","yafaa","yafaa","YEM",93.71791582,"success",14015253
"242","yarim","yarim","YEM",86.23507438,"success",20014253
"243","zabid","zabid","YEM",100.0344978,"success",26005253
"244","alhawdah","alhawtah","YEM",96.96184938,"fuzzy need fix",1015253
