"","NAME","NAME.who","NAME.shpfile","iso3","iso3.x","iso3.y","who_coverage","who_coverage.x","who_coverage.y","merge_status","merge_status.x","merge_status.y","GAUL_CODE","GAUL_CODE.x","GAUL_CODE.y"
"215","hawagalan","hawagalan",NA,"ETH",NA,NA,82.96614845,NA,NA,"success",NA,NA,470,NA,NA
"216","hawigudina","hawigudina",NA,"ETH",NA,NA,120.3679653,NA,NA,"success",NA,NA,634,NA,NA
"217","hidabuabote","hidabuabote",NA,"ETH",NA,NA,87.46493446,NA,NA,"success",NA,NA,396,NA,NA
"218","hitosa","hitosa",NA,"ETH",NA,NA,86.05287871,NA,NA,"success",NA,NA,495,NA,NA
"219","homa","homa",NA,"ETH",NA,NA,128.2861646,NA,NA,"success",NA,NA,621,NA,NA
"220","homosha","homosha",NA,"ETH",NA,NA,100.0173498,NA,NA,"success",NA,NA,250,NA,NA
"221","horo","horo",NA,"ETH",NA,NA,79.01398266,NA,NA,"success",NA,NA,783,NA,NA
"222","hulla","hulla",NA,"ETH",NA,NA,96.92171315,NA,NA,"success",NA,NA,136,NA,NA
"223","humbo","humbo",NA,"ETH",NA,NA,102.902201,NA,NA,"success",NA,NA,177,NA,NA
"224","hurumu","hurumu",NA,"ETH",NA,NA,52.43181595,NA,NA,"success",NA,NA,551,NA,NA
"225","ilu","ilu",NA,"ETH",NA,NA,61.88526453,NA,NA,"success",NA,NA,458,NA,NA
"226","janamora","janamora",NA,"ETH",NA,NA,88.82646999,NA,NA,"success",NA,NA,312,NA,NA
"227","jarso","jarso",NA,"ETH",NA,NA,94.98898223,NA,NA,"success",NA,NA,413,NA,NA
"228","jawi","jawi",NA,"ETH",NA,NA,101.9119544,NA,NA,"success",NA,NA,313,NA,NA
"229","jeju","jeju",NA,"ETH",NA,NA,99.18114783,NA,NA,"success",NA,NA,483,NA,NA
"230","jeldu","jeldu",NA,"ETH",NA,NA,78.04123541,NA,NA,"success",NA,NA,425,NA,NA
"231","jibat","jibat",NA,"ETH",NA,NA,99.96566663,NA,NA,"success",NA,NA,572,NA,NA
